iso_3166_2,iso_a2,name_ar,name_en
BH-13,BH,محافظة العاصمة,Capital Governorate
BH-14,BH,جنوبية,Southern Governorate
BH-15,BH,محافظة المحرق,Muharraq Governorate
BH-16,BH,محافظة الوسطى,Central Governorate
BH-17,BH,شمالية,Northern Governorate
