iso_3166_2,iso_a2,name_ar,name_en
AE-AJ,AE,عجمان,Ajman Emirate
AE-AZ,AE,إمارة أبوظبي,Abu Dhabi Emirate
AE-DU,AE,إمارة دبي,Emirate of Dubai
AE-FU,AE,الفجيرة,Fujairah
AE-RK,AE,رأس الخيمة,Ras al-Khaimah
AE-SH,AE,إمارة الشارقة,Sharjah Emirate
AE-UQ,AE,أم القيوين,Umm al-Quwain
