iso_3166_2,iso_a2,name_ar,name_en
KW-AH,KW,محافظة الأحمدي,Al Ahmadi Governorate
KW-FA,KW,محافظة الفروانية,Al Farwaniyah Governorate
KW-HA,KW,محافظة حولي,Hawalli Governorate
KW-JA,KW,محافظة الجهراء,Al Jahra Governorate
KW-KU,KW,محافظة العاصمة,Al Asimah Governorate
KW-MU,KW,محافظة مبارك الكبير,Mubarak Al-Kabeer Governorate
