iso_3166_2,iso_a2,name_ar,name_en
SA-01,SA,منطقة الرياض,Riyadh
SA-02,SA,منطقة مكة المكرمة,Makkah
SA-03,SA,منطقة المدينة المنورة,Al Madinah
SA-04,SA,المنطقة الشرقية,Eastern Province
SA-05,SA,منطقة القصيم,Al-Qassim
SA-06,SA,منطقة حائل,Ha'il
SA-07,SA,منطقة تبوك,Tabuk
SA-08,SA,منطقة الحدود الشمالية,Northern Borders
SA-09,SA,منطقة جازان,Jizan
SA-10,SA,منطقة نجران,Najran
SA-11,SA,منطقة الباحة,Al Bahah
SA-12,SA,منطقة الجوف,Al Jawf
SA-14,SA,منطقة عسير,Asir
